,nox,nox_categoria
247,51.6746,Medio
248,80.3738,Alto
249,75.02515,Alto
250,53.1787,Alto
251,38.078066666666665,Medio
252,32.086600000000004,Medio
253,20.8827,Bajo
254,15.861843333333333,Bajo
255,17.10533,Bajo
256,22.502493333333334,Bajo
257,23.315126666666668,Bajo
258,32.41333,Medio
259,37.50082333333334,Medio
260,34.21647666666667,Medio
261,33.984626666666664,Medio
262,34.46406666666667,Medio
263,32.297266666666665,Medio
264,27.10693333333333,Bajo
265,24.06648,Bajo
266,19.504056666666667,Bajo
267,17.575973333333334,Bajo
268,16.0776,Bajo
269,13.770466666666666,Bajo
270,18.88583333333333,Bajo
271,21.6296,Bajo
272,39.2706,Medio
273,52.66905,Medio
274,40.5223,Medio
275,34.6612,Medio
276,28.11236666666667,Bajo
277,19.8798,Bajo
278,16.465433333333333,Bajo
279,16.60451,Bajo
280,17.937533333333334,Bajo
281,19.0212,Bajo
282,20.061086666666665,Bajo
283,22.72745333333333,Bajo
284,26.82269,Bajo
285,27.83251,Bajo
286,28.4045,Bajo
287,25.024,Bajo
288,20.90667,Bajo
289,23.4838,Bajo
290,19.154666666666667,Bajo
291,14.477333333333334,Bajo
292,15.508333333333333,Bajo
293,14.908266666666668,Bajo
294,18.0436,Bajo
295,17.041449999999998,Bajo
296,29.21043333333333,Bajo
297,22.628866666666667,Bajo
298,22.7743,Bajo
299,16.8251,Bajo
300,12.8139,Bajo
301,10.896136666666663,Bajo
302,7.862513333333332,Bajo
303,6.54427,Bajo
304,8.035813333333333,Bajo
305,11.388446666666669,Bajo
306,14.990479999999998,Bajo
307,16.36551,Bajo
308,18.97714,Bajo
309,21.793143333333333,Bajo
310,25.4592,Bajo
311,27.60285,Bajo
312,16.64153333333333,Bajo
313,12.69292,Bajo
314,12.19071,Bajo
315,11.200045,Bajo
316,11.564545,Bajo
317,11.91555,Bajo
318,23.977950000000003,Bajo
319,42.86183333333333,Medio
320,61.2409,Alto
321,81.03356666666666,Alto
322,62.17516666666666,Alto
323,42.16963333333334,Medio
324,39.0068,Medio
325,30.88835,Bajo
326,27.89596666666667,Bajo
327,24.71033333333333,Bajo
328,36.8547,Medio
329,38.50686666666667,Medio
330,56.91290000000001,Alto
331,47.9827,Medio
332,46.5032,Medio
333,37.514,Medio
334,44.26073333333333,Medio
335,52.8067,Alto
336,60.15375,Alto
337,42.26316666666667,Medio
338,34.44655,Medio
339,29.01295,Bajo
340,22.50225,Bajo
341,27.3813,Bajo
342,31.30877666666667,Bajo
343,55.67174,Alto
344,11.6192,Bajo
345,54.7993,Alto
346,60.80383333333333,Alto
347,50.0021,Medio
348,36.37256666666666,Medio
349,21.418133333333333,Bajo
350,19.48963333333333,Bajo
351,20.364866666666668,Bajo
352,18.447866666666663,Bajo
353,25.375333333333334,Bajo
354,20.811333333333334,Bajo
355,27.34065,Bajo
356,41.1286,Medio
357,32.51003333333333,Medio
358,31.20263333333333,Bajo
359,28.8609,Bajo
360,24.1621,Bajo
361,15.981976666666668,Bajo
362,14.965155,Bajo
363,11.075663333333331,Bajo
364,13.060635,Bajo
365,11.51385,Bajo
366,11.012655,Bajo
367,39.635466666666666,Medio
368,54.02555,Alto
369,51.47743333333333,Medio
370,56.847100000000005,Alto
371,43.64896666666667,Medio
372,28.8055,Bajo
373,23.92646666666667,Bajo
374,17.840266666666665,Bajo
375,18.884533333333334,Bajo
376,21.2144,Bajo
377,20.78983333333333,Bajo
378,22.874866666666662,Bajo
379,48.7426,Medio
380,35.32513333333333,Medio
381,39.85723333333333,Medio
382,37.15656666666667,Medio
383,32.50886666666667,Medio
384,26.62073333333333,Bajo
385,26.3638,Bajo
386,18.97155,Bajo
387,13.511566666666669,Bajo
388,12.99082,Bajo
389,17.174233333333333,Bajo
390,24.1532,Bajo
391,44.068900000000006,Medio
392,54.4278,Alto
393,67.50153333333333,Alto
394,70.5321,Alto
395,59.22153333333333,Alto
396,38.129693333333336,Medio
397,36.997933333333336,Medio
398,34.0418,Medio
399,28.4813,Bajo
400,26.29243333333333,Bajo
401,28.733733333333333,Bajo
402,38.0414,Medio
403,56.9292,Alto
404,43.63456666666667,Medio
