,no,no_sqrt
2719,69.67765,8.347313939226199
2720,77.8218,8.82166650922602
2721,71.13075,8.433904789597758
2722,53.51825,7.3156168571078135
2723,37.27355,6.1052067942044355
2724,9.6984,3.114225425366635
2725,4.834633333333334,2.198779964738021
2726,3.3389333333333333,1.8272748379303354
2727,6.445799999999999,2.5388580109962824
2728,9.6567,3.1075231294392647
2729,18.02926666666667,4.246088396002452
2730,14.400466666666668,3.794794680436172
2731,31.55353333333333,5.617253184015595
2732,49.1131,7.008073915135314
2733,48.4655,6.961716742298554
2734,61.5084,7.842729116831717
2735,24.855633333333333,4.9855424312037835
2736,20.50333333333333,4.528060659193219
2737,24.59835,4.959672368211432
2738,11.6812,3.4177770553387474
2739,11.681133333333332,3.4177673023968924
2740,9.439533333333332,3.0723823546774467
2741,11.999766666666666,3.464067936208334
2742,27.67983333333333,5.261162735872492
2743,45.760133333333336,6.764623665314526
2744,71.47056666666667,8.454026654007347
2745,61.01503333333333,7.8112120271653955
2746,42.89183333333333,6.549185700018998
2747,40.6037,6.3721032634444965
2748,40.6857,6.378534314401702
2749,40.7677,6.3849588878864365
2750,25.0626,5.006256086138623
2751,6.967700000000001,2.6396401269870107
2752,6.321133333333333,2.514186415788084
2753,8.135366666666666,2.852256416710578
2754,16.094933333333334,4.011849116471522
2755,38.926233333333336,6.239089142922493
2756,63.1958,7.949578605184051
2757,61.319700000000005,7.83068962480317
2758,67.74463333333334,8.230712808337644
2759,57.45966666666666,7.580215476268907
2760,32.63896666666667,5.713052307363085
2761,19.27283333333333,4.390083522364162
2762,9.319466666666663,3.0527801536741332
2763,7.009466666666667,2.6475397384490127
2764,6.489366666666666,2.5474235349989733
2765,12.778,3.5746328482796663
2766,29.078033333333327,5.3924051529288235
2767,35.706066666666665,5.975455352244435
2768,51.64503333333334,7.1864478940108745
2769,60.42123333333333,7.773109630857739
2770,69.24663333333334,8.321456202692731
2771,23.6765,4.865850388164437
2772,13.366700000000002,3.6560497808427064
2773,17.336566666666666,4.163720291598208
2774,6.8611,2.6193701533002165
2775,2.5031,1.5821188324522275
2776,2.749866666666667,1.6582721931777868
2777,10.555466666666666,3.248917768529494
2778,15.638733333333333,3.9545838381975584
2779,26.587333333333333,5.156290656405371
2780,45.543933333333335,6.748624551220296
2781,66.40645,8.149015277933893
2782,17.0672,4.131246785172728
2783,15.1034,3.8863093031821334
2784,9.6661,3.109035220128585
2785,43.12486666666666,6.5669526164475
2786,30.061666666666667,5.4828520558799205
2787,19.279166666666665,4.390804785761565
2788,12.4145,3.5234216324476413
2789,15.104933333333332,3.886506571888607
2790,35.969366666666666,5.997446678934851
2791,85.839,9.264933890751731
2792,73.0299,8.54575333133364
2793,61.66126666666667,7.852468826214254
2794,47.589200000000005,6.898492588964636
2795,34.634033333333335,5.885068677027766
2796,15.0174,3.8752290254899773
2797,7.0121,2.648037008804824
2798,4.004866666666667,2.001216296822177
2799,6.981133333333335,2.642183440515313
2800,19.93215,4.4645436496914215
2801,13.8545,3.7221633494514985
2802,14.581866666666665,3.8186210425579894
2803,32.63503333333333,5.712708056021534
2804,48.71446666666666,6.979574963181258
2805,44.17476666666667,6.646410058570466
2806,31.278233333333333,5.592694639736139
2807,25.88093333333333,5.08733066876268
2808,25.174633333333333,5.017432942584618
2809,19.461133333333333,4.411477454700787
2810,15.757866666666668,3.969617949710862
2811,11.107,3.3327166096144447
2812,19.92,4.46318272088428
2813,24.5267,4.952443841175789
2814,29.776266666666668,5.456763387454753
2815,36.32513333333333,6.027033543405357
2816,34.2227,5.850017093992119
2817,29.475400000000004,5.429125159728776
2818,18.032533333333333,4.246473046344852
2819,9.167766666666669,3.027832007669294
2820,5.641533333333332,2.375191220372232
2821,5.115766666666667,2.261806063009529
2822,2.6671666666666667,1.6331462477888092
2823,2.246966666666667,1.49898854787709
2824,2.520566666666667,1.5876292598294688
